,ARS,AUD,BRL,CAD,CHF,CLP,CNH,COP,CZK,EUR,GBP,HUF,IDR,ILS,INR,JPY,KRW,MXN,NOK,NZD,PEN,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,TWD,ZAR
2000-01-04,0.0294231073151827,-0.006050539458334044,0.10906670313055848,-0.009157735428700806,-0.04559418531440918,0.04070391848545522,,,-0.0050475138678904245,-0.027518984041441163,-0.0013878895545656642,0.08868971133151364,,,,-0.05835622254427588,,0.14106912364070262,-0.0007176218187604884,-0.0076972671230763285,0.10123954086205791,,,,,-0.0244485897546935,-0.03677947486773507,,,,0.05739632992120115
2000-01-05,0.029718184905159536,-0.005820586182709261,0.1096461732006905,-0.008833043380848877,-0.04416760582033707,0.04109033144423929,,0.15385331408737032,-0.00526251376693878,-0.026273362704871718,-0.0014600513904567717,0.0780072961940206,,,,-0.056354436225626324,,0.13639081240893589,-0.0011794668656348326,-0.007311546710376918,0.10221322736240977,,,,,-0.023887220377163006,-0.03665693150156022,,,,0.05669876747013442
2000-01-06,0.029737429205728253,-0.005727504331755845,0.10943528700450546,-0.008621795216781393,-0.04408439888273479,0.0413513763366492,,0.1543683084947216,-0.005301900043129834,-0.02685815325344867,-0.0010456643438426568,0.08379808331020491,,,,-0.0617736307122166,,0.1363505940451737,-0.0007722309891651091,-0.006341834240034301,0.10220056956110371,,,,,-0.02399394993784844,-0.03546699463383387,,,,0.057177391990927494
2000-01-07,0.02973588819418529,-0.005620650801465194,0.11032012428399152,-0.008784685257684699,-0.04305261190918586,0.04169795691366852,,0.154651959135903,-0.005146039524748699,-0.026968399980685332,-0.0010248891139989222,0.08403415772439898,,,,-0.06049894092449181,,0.13602994049625441,-0.0007688680795921309,-0.006180828635292003,0.10211013362005611,,,,,-0.02373090590823353,-0.03655461619363879,,,,0.05779224561853517
2000-01-10,0.029017570776860974,-0.006054055631590305,0.11115260996129789,-0.009075239582300049,-0.045749140965242435,0.04098454863603437,,0.15252156623896954,-0.00507935541223706,-0.028766156845539084,-0.0011435037443017116,0.08394769519019514,,,,-0.06007925347144806,,0.135400806436763,-0.0007119915781556409,-0.006385183092019221,0.09871281501099562,,,,,-0.025327104033619045,-0.03653354755821778,,,,0.06289159609287183
2000-01-11,0.029369609931203466,-0.006023810084403097,0.11430024256767761,-0.009642486936428017,-0.04506052315266238,0.04126418146492304,,0.15247923892402251,-0.005098681527435906,-0.027503096848126837,-0.0005622526917672746,0.08343173535174542,,,,-0.0587565903398957,,0.13500607356856786,-0.0011138676152401188,-0.006290858895255783,0.10053422641193885,,,,,-0.02478308130262856,-0.03296986781579702,,,,0.06131468243759088
2000-01-12,0.02969618757515534,-0.005778220535606906,0.11565031710640263,-0.00938024306021175,-0.043860642912056005,0.04187904486509614,,0.15444588803448675,-0.00456196393428408,-0.02708178602838349,-0.0003981432836031509,0.0830589720503706,,,,-0.05707599858750917,,0.1341382809132285,-0.0011684748429765324,-0.006338639466906577,0.10220102585943715,,,,,-0.024223209654322078,-0.03571819246226502,,,,0.0578212850504668
2000-01-13,0.02975613644515564,-0.006147219496780621,0.11669542638866516,-0.00918485513555769,-0.04319847358181947,0.042171309051628435,,0.15338856452697974,-0.005161225228923469,-0.02705796791331959,-0.0015781080446191096,0.07922798237389886,,,,-0.056748362023664164,,0.13731906926839116,-0.001152247244826578,-0.0064776942725130815,0.10247533468148623,,,,,-0.024234669920688918,-0.03637591482416775,,,,0.05689522888152203
2000-01-14,0.029711521768078075,-0.006297058265862501,0.102757921152723,-0.008955624543607673,-0.04259207851455197,0.0422062629413673,,0.15299597220676422,-0.004884151688914711,-0.02748195578806927,-0.0013495261539190127,0.0800581472034514,,,,-0.05686608358662482,,0.13397750175499648,-0.00107210772819407,-0.006312982027427133,0.1029042722637266,,,,,-0.023857636109872658,-0.03559982592375386,,,,0.05775576681624759
2000-01-18,0.03073358100312772,-0.006219857189402195,0.10894967888864611,-0.009478474692238056,-0.04508700325698958,0.041360806364882555,,0.14822381000275567,-0.005162061044287268,-0.029179901903012496,-0.00105130051362372,0.07858843756539251,,,,-0.06068243858713943,,0.13831902116475783,-0.0009332528180316673,-0.005931597183939233,0.09927979417303044,,,,,-0.02568723879304761,-0.037726643160591405,,,,0.05659608484453584
