,ARS,AUD,BRL,CAD,CHF,CLP,CNH,COP,CZK,EUR,GBP,HUF,IDR,ILS,INR,JPY,KRW,MXN,NOK,NZD,PEN,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,TWD,ZAR
1999-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1999-01-05,1.0000017164791086,1.0002767800795362,1.0000733919240758,1.0001378136824013,1.0001722674628952,1.000023124736323,1.0,1.0,0.9999668747671606,1.000009542683172,0.999828283019486,0.999582115914191,1.0,1.0,1.0,1.0006481460622778,1.0,1.000402079293784,1.000322577037121,1.0006645305455537,0.9999176725307692,1.0,1.0,1.0,1.0,1.0004244044123467,0.9997885486562408,1.0,1.0,1.0,1.0005347974247987
1999-01-06,1.0001477449792138,1.0014358405190882,1.0001040376373247,1.0008815532523518,0.9993275201451872,1.0002656672421422,1.0,1.0,0.9997269513099747,0.9994604266724486,0.9998779672767238,0.9992194605275229,1.0,1.0,1.0,0.999754908979757,1.0,1.0007242927089524,1.0003137849691466,1.0009937060986525,0.9998043513767381,1.0,1.0,1.0,1.0,1.0010839070565964,0.9993957766513025,1.0,1.0,1.0,1.0020271541760928
1999-01-07,1.0001785885201342,1.0021293060241476,0.9994030163651033,1.00062666649378,0.9985812144487168,0.9997562098616912,1.0,1.0,0.9986617924289232,0.9988035603483276,0.9992868061261053,0.9988430279855084,1.0,1.0,1.0,1.001646070045914,1.0,0.9995176278243689,1.0006798932325578,1.0015154207721748,0.9996788691277803,1.0,1.0,1.0,1.0,1.0016728450350776,0.9999152521867556,1.0,1.0,1.0,0.9976725606158763
1999-01-08,1.0002136385135894,1.0024199248191954,0.9995105088990703,1.0003783018630545,0.9970739467409817,1.0002537989144078,1.0,1.0,0.9961399990050092,0.9967836348687591,0.9981630156939582,0.9975622706491194,1.0,1.0,1.0,1.0010776965235844,1.0,1.0009480301632463,1.0005861833673255,1.001215339736057,0.9996607644823619,1.0,1.0,1.0,1.0,1.000858222500064,0.9991560316094455,1.0,1.0,1.0,0.9993973876506528
1999-01-11,0.9998503469321688,1.0056144521320243,0.9957462960034184,1.001484228881479,0.9967663829995418,0.9995594403544075,1.0,1.0,0.9944686895655367,0.9963829683564773,0.9981439094211908,0.9976314354606802,1.0,1.0,1.0,1.0059321023273073,1.0,0.9974077053542125,1.0008852686004792,1.0044875310178691,0.9994982217158077,1.0,1.0,1.0,1.0,1.0031705551645511,0.9995641851330918,1.0,1.0,1.0,0.9926166154063863
1999-01-12,0.9998751036140731,1.0060893084722051,0.9941207872115773,1.001482194388494,0.9981558567406769,0.999314532574735,1.0,1.0,0.9926531107039317,0.9965790747768531,0.9964127614460162,0.9976163490211839,1.0,1.0,1.0,0.9990947862566699,1.0,0.9924539706424069,0.9998543794817754,1.0044364234003877,0.9993509228831341,1.0,1.0,1.0,1.0,1.003525968421762,0.998590234163244,1.0,1.0,1.0,0.989309050563094
1999-01-13,0.9999071981731154,1.0003150622460024,0.9728828454630754,0.9967671417304919,1.0071810572911206,0.9981743208553967,1.0,1.0,0.9935989490380218,1.001392781187733,1.0011131693676871,0.9937980601630831,1.0,1.0,1.0,0.9931600697668771,1.0,0.9792383033202143,0.9990168672441948,1.0004449007079246,0.9959533368171412,1.0,1.0,1.0,1.0,1.0053362819192857,0.9964736780611588,1.0,1.0,1.0,0.9846723123293725
1999-01-14,1.0000168674420773,1.00126885857923,0.9649015159752593,0.9971381667406659,1.0057737149610553,0.9982660005105685,1.0,1.0,0.9936014754921675,1.0012170442366772,1.0024865582947864,0.9968408585577181,1.0,1.0,1.0,0.9942975184713719,1.0,0.9766610134934577,0.9993265616497126,0.9995175586256101,0.9935986960924311,1.0,1.0,1.0,1.0,1.0043548309007528,0.9980996075104569,1.0,1.0,1.0,0.9805358556107964
1999-01-15,1.0002439366168088,1.0016030763910961,0.9785272600129769,0.997082534817248,0.9991733007964626,0.9975587719450324,1.0,1.0,0.9923125177521791,0.9970083441154249,1.0007870327899515,0.9935855220665669,1.0,1.0,1.0,0.9922646991092322,1.0,0.981119690271376,0.9977427930518997,0.9999169530650405,0.9959455149294655,1.0,1.0,1.0,1.0,1.0023118939531197,0.9986989453401512,1.0,1.0,1.0,0.9871365582441409
1999-01-19,1.0000530577451103,1.005755487286682,0.9548164918364548,0.9965885383514326,1.000637809458707,0.9969290145247948,1.0,1.0,0.9922767945568401,0.9976324842994085,1.002854534828676,1.0003072347842308,1.0,1.0,1.0,0.9928055127648898,1.0,0.9910338483657033,1.0015868833569124,0.9964065059009037,0.9972209924195677,1.0,1.0,1.0,1.0,1.008776691223863,0.9977441985279188,1.0,1.0,1.0,0.992396834766813
1999-01-20,0.9971998225784605,1.006644094601323,0.9511684732239508,0.9975467903958404,0.995533551985317,0.9983737149027754,1.0,1.0,0.9869541429490176,0.995908951678151,0.999172779494245,0.9992081021082566,1.0,1.0,1.0,0.9936159771300654,1.0,0.9980834991573271,1.0022864227341017,0.999786822892135,0.9975781539626067,1.0,1.0,1.0,1.0,1.0102817536226218,0.9990272713162076,1.0,1.0,1.0,0.996567638902999
1999-01-21,0.9974290339914524,1.00706242858554,0.9254776537106073,1.0010951788668196,0.9966094324310831,0.9983062221513008,1.0,1.0,0.9846938173203377,0.9964563894578152,1.0008445106315866,1.000431227052272,1.0,1.0,1.0,0.9949597048984707,1.0,0.9914520316874047,1.0010802144936986,1.0018556835880814,0.995861444549023,1.0,1.0,1.0,1.0,1.0096548136227461,1.001716512487619,1.0,1.0,1.0,0.99120324048479
1999-01-22,0.9975713773671294,1.0000536030291716,0.934451011949113,0.9996399016728236,0.9981785437354515,0.9978715279567787,1.0,1.0,0.9832568803479624,0.996355527995751,1.0017453418331825,0.9999685068123647,1.0,1.0,1.0,0.9896841065111509,1.0,0.9986947738353152,0.9999045327091554,0.9965566288823627,0.9945225843403507,1.0,1.0,1.0,1.0,1.009970206849353,0.998331415953811,1.0,1.0,1.0,0.9953271830289689
1999-01-25,1.0009294022450819,0.9979440153279971,0.9304676490137995,1.0015791170812147,0.9977059171661353,0.9995279332243554,1.0,1.0,0.9811903869281696,0.9951058960381911,1.0031220252522874,0.9996602056276511,1.0,1.0,1.0,0.9907475733930382,1.0,0.99779098274787,0.9998497434452225,0.9931550630766673,0.9925571251502568,1.0,1.0,1.0,1.0,1.0100848940565164,0.9950376716588675,1.0,1.0,1.0,0.9935304286836674
1999-01-26,0.9974533586204062,0.9962683264394874,0.9325177171573886,0.999971445850961,0.9955587981213767,0.9978603832980071,1.0,1.0,0.9761738310221594,0.9958153442582148,1.0040999202937557,0.999174675331554,1.0,1.0,1.0,0.9893490455853627,1.0,0.9976874279030731,1.0009955658933531,0.9934570617559091,0.9906890615526025,1.0,1.0,1.0,1.0,1.0122994513689267,0.9970495932745006,1.0,1.0,1.0,0.9940586944456662
1999-01-27,0.9975638931757345,0.9951421833516341,0.9101743501744154,0.9994429491948178,0.9889698894841706,0.996817821404963,1.0,1.0,0.9723874432564191,0.9909479738772285,1.0005538282417175,0.997428954617937,1.0,1.0,1.0,0.9804753135569867,1.0,1.0023513229985248,0.9996505026895229,0.9964240718691809,0.9872732224605292,1.0,1.0,1.0,1.0,1.013078220732393,0.9948322574796734,1.0,1.0,1.0,0.9979008604408264
1999-01-28,0.9981561867174472,0.9911535772534529,0.9335319452894323,0.9960452465113486,0.9806382314471855,0.9940969294452356,1.0,1.0,0.9654973343971838,0.9846140539522586,0.9984143851341629,0.9944186075197945,1.0,1.0,1.0,0.9744375671791543,1.0,1.0043851154155425,0.9955016049683806,0.991924357875148,0.9877854411160238,1.0,1.0,1.0,1.0,1.0067125255465443,0.9933409197981136,1.0,1.0,1.0,0.9955852997957295
1999-01-29,0.9983060345066356,0.993657515580535,0.9335241344707944,1.0051713186500706,0.9755862810071082,0.9911854937650214,1.0,1.0,0.9548944053626375,0.9798176525754008,0.9957131095377343,0.9899252817853349,1.0,1.0,1.0,0.9738970938976084,1.0,1.0064317838156445,0.9909274536188216,0.9986412936727199,0.9837129718400281,1.0,1.0,1.0,1.0,1.0009377163120035,0.9923127011082281,1.0,1.0,1.0,0.9929091327041837
1999-02-01,0.9981473327087186,1.0031375392253263,0.9335338073829619,1.0070769867155882,0.972821670833437,0.9896150233344186,1.0,1.0,0.9437733710213619,0.9755104654508001,0.9944164768540649,0.9876485537897195,1.0,1.0,1.0,0.9831376831650621,1.0,1.014529609042276,0.9887083932032382,1.006702291079597,0.9838131896380929,1.0,1.0,1.0,1.0,0.9988261304487991,0.9933775374646433,1.0,1.0,1.0,0.9964296986417125
1999-02-02,0.9982655487252007,1.0113505421031908,0.9242543632907799,1.0037422296629355,0.982418971983955,0.9879148869596773,1.0,1.0,0.9424558685804055,0.979735697659,0.997782405125066,0.9905741185628384,1.0,1.0,1.0,1.0052345759568768,1.0,1.0174143152836008,0.9861125750691295,1.0115817071226798,0.9829209169867392,1.0,1.0,1.0,1.0,0.9985248506566704,0.9964268439932874,1.0,1.0,1.0,1.0005125565828223
1999-02-03,0.9983994007393301,1.0149909496910818,0.9242508652443321,1.0038669714792385,0.9816130777390869,0.990100004123575,1.0,1.0,0.9455260618914226,0.978957618177544,0.9929433852937638,0.9903204017881312,1.0,1.0,1.0,1.0076158738180063,1.0,1.0174601613839531,0.9805353887055233,1.021062289731208,0.9805471086214975,1.0,1.0,1.0,1.0,0.9933042198611446,0.9957710576233658,1.0,1.0,1.0,1.0016519318459753
1999-02-04,0.9988386098099324,1.0189171631241254,0.9210789473670391,1.0152799244223305,0.9761849167811444,0.99389156270227,1.0,1.0,0.9396033575420726,0.9740027250171199,0.9931282239816395,0.9872364638134336,1.0,1.0,1.0,1.0076726280201271,1.0,1.0160899873696745,0.9752137083768608,1.0232999304131118,0.9830391293695917,1.0,1.0,1.0,1.0,0.9924530112084492,0.9945608957123978,1.0,1.0,1.0,0.9947102403440121
1999-02-05,0.9991616886638474,1.0312155949259463,0.9156376588127868,1.0202277386788383,0.9766149373638855,0.993185992162876,1.0,1.0,0.9365513817420684,0.9736683266541499,0.9934561656648219,0.9875058855283424,1.0,1.0,1.0,1.0010593474444296,1.0,1.0203346672497728,0.974452038527353,1.0225981708969052,0.9828883968607625,1.0,1.0,1.0,1.0,0.99580022714504,0.994166522307076,1.0,1.0,1.0,1.0041132896495744
1999-02-08,0.9991606946404789,1.0301097391548397,0.9028883004502918,1.021041333401654,0.9736938065158031,0.9904663331761481,1.0,1.0,0.919308130025833,0.9703910151952584,0.9900220146483536,0.9850905181743809,1.0,1.0,1.0,0.994296873101505,1.0,1.0206353086879025,0.9738511907507404,1.036187400984202,0.9837545960279325,1.0,1.0,1.0,1.0,0.9888925364513572,0.9926353169362829,1.0,1.0,1.0,1.0099521508695712
1999-02-09,0.9993123389883415,1.024600754217773,0.9232525963551282,1.016334394062425,0.9765815333152345,0.9904567174451245,1.0,1.0,0.9157056487929397,0.974733733040356,0.9924866542023849,0.9857133393813294,1.0,1.0,1.0,0.9882470546704385,1.0,1.0229409090213417,0.9766654574069568,1.0303673107316151,0.9846486807934992,1.0,1.0,1.0,1.0,0.9911890509929726,0.9913111508468393,1.0,1.0,1.0,0.9875099785710115
1999-02-10,0.9994813487402514,1.0219732980973726,0.9284214962466011,1.0169484448262147,0.9810108865087991,0.9849324893982119,1.0,1.0,0.9282967788084359,0.976559387731907,0.9877429907881093,0.9842914701131626,1.0,1.0,1.0,0.9865426279553454,1.0,1.0256180891108795,0.9778207858571968,1.0235596850253608,0.9848207394767323,1.0,1.0,1.0,1.0,0.9907984993832994,0.9910609176469851,1.0,1.0,1.0,0.9885341875414164
1999-02-11,1.000214406815524,1.0278726570854522,0.9133407769082547,1.0206308047216475,0.9771239384005359,0.9849339214569601,1.0,1.0,0.9316822435021364,0.9742889586441085,0.9857209537921318,0.987796062604212,1.0,1.0,1.0,0.9884391342223355,1.0,1.0357314027093694,0.9778546255277907,1.0241092696267298,0.9830072476709372,1.0,1.0,1.0,1.0,0.9901536591907543,0.9931942639328332,1.0,1.0,1.0,0.9959843869791921
1999-02-12,1.0008592316292548,1.0217082917069042,0.9162789745048194,1.0165436562060428,0.9769939598446598,0.9849331663457715,1.0,1.0,0.9237969667959623,0.9726277414868747,0.98807553582958,0.9858510273180918,1.0,1.0,1.0,0.9884238600426691,1.0,1.0391174741240512,0.9805222617402859,1.0182040844962932,0.9840357716401671,1.0,1.0,1.0,1.0,0.9902866444954896,0.9912859655042684,1.0,1.0,1.0,0.9898951010589024
1999-02-16,1.0005968337577482,1.0080562882807786,0.9207366089533043,1.0128820587001597,0.9667319269137369,0.984936789837485,1.0,1.0,0.9110712999967356,0.96408286374004,0.990574501822576,0.9784052339203274,1.0,1.0,1.0,0.9558296083813161,1.0,1.0451496350975302,0.968211137378602,0.9974904680105606,0.9864894275978843,1.0,1.0,1.0,1.0,0.9839381434110682,0.9871429147765296,1.0,1.0,1.0,0.9831387543988296
1999-02-17,1.0007904969053143,1.0029696989330446,0.9207323769267971,1.0136240072649894,0.9717158368524885,0.9849294987297993,1.0,1.0,0.9176007863487372,0.9686020380101626,0.9919526752294099,0.9778363499092761,1.0,1.0,1.0,0.9499063053106983,1.0,1.0463891818197617,0.9657608882780356,0.9963147393592932,0.9858549674386512,1.0,1.0,1.0,1.0,0.9845285396119507,0.9872309430570708,1.0,1.0,1.0,0.982149386045638
1999-02-18,1.001411927123322,1.0045584026023688,0.92295019022574,1.020299573454662,0.9702575167915138,0.9849959069721661,1.0,1.0,0.9253951343196889,0.9675335839525733,0.9906314905735332,0.9739080628096294,1.0,1.0,1.0,0.94221854216764,1.0,1.053268727744228,0.9594997195224354,0.9991818389936962,0.9856611970117961,1.0,1.0,1.0,1.0,0.9803145428921898,0.9853777310149939,1.0,1.0,1.0,0.9811548813676435
1999-02-19,1.0017951408471948,1.0089124799438292,0.8601980489756829,1.0180733693716677,0.9583016036982148,0.9865316598520422,1.0,1.0,0.9113347895488509,0.9565580975099763,0.9882492516202109,0.9652218020081668,1.0,1.0,1.0,0.9365351134778592,1.0,1.049424098948088,0.9552746565344283,1.0044320839143195,0.9824824926787744,1.0,1.0,1.0,1.0,0.971371688209874,0.9815738508531642,1.0,1.0,1.0,0.9673448018641888
1999-02-22,1.0018583094347517,1.012460934884213,0.8601960235131323,1.0167819613643694,0.9529754186659484,0.9886985275330626,1.0,1.0,0.908893676899554,0.9510287177616971,0.9841422398384859,0.9632012946016473,1.0,1.0,1.0,0.9379785010522923,1.0,1.0486374143198525,0.9510541510180458,1.003089052531871,0.9798485109067816,1.0,1.0,1.0,1.0,0.9673449771010464,0.9787869281297853,1.0,1.0,1.0,0.9747901092416958
1999-02-23,1.0021376129015713,1.010078622881274,0.8601977166114302,1.013319108094067,0.9516259528567831,0.9852570386076407,1.0,1.0,0.9023349441449906,0.9465224023632801,0.9772353054802636,0.9615833099543215,1.0,1.0,1.0,0.931142165443295,1.0,1.0481605123216362,0.9481980343854777,0.9960800982177007,0.9788821561975232,1.0,1.0,1.0,1.0,0.9625268336637564,0.9731681769879909,1.0,1.0,1.0,0.9753673937293881
1999-02-24,1.0024290042218005,0.9986183829226457,0.8601979554487957,1.012820210477944,0.9502547694109427,0.9882078219777836,1.0,1.0,0.8963079831209828,0.9441323697450303,0.9696571017455915,0.9581463667080291,1.0,1.0,1.0,0.925758268044359,1.0,1.0509372543319413,0.9465673735952309,0.9840036843330524,0.9787732211756678,1.0,1.0,1.0,1.0,0.9573596540494117,0.9697951030654908,1.0,1.0,1.0,0.9777856904275939
1999-02-25,1.0120741237318944,0.9892873723841099,0.8601932877800205,1.0096248196607005,0.958337818218722,0.9827396486706642,1.0,1.0,0.9056439431020873,0.9524195625088737,0.9728377544841499,0.9552402484890055,1.0,1.0,1.0,0.9391770451368446,1.0,1.0483178572826268,0.94968546849077,0.9749181767144153,0.9673360663575388,1.0,1.0,1.0,1.0,0.9605778435252692,0.9703354308298048,1.0,1.0,1.0,0.9814605942035171
1999-02-26,1.0122852286160406,0.9815394925013782,0.8601913665967992,1.005956091834841,0.9529155660291392,0.977683240677628,1.0,1.0,0.902585492561913,0.9460276029500966,0.9716796335933612,0.9516764803856967,1.0,1.0,1.0,0.95054768812062,1.0,1.0508680596936997,0.9451188003107036,0.9708018830071765,0.9818736776325946,1.0,1.0,1.0,1.0,0.9501953319566209,0.9723031754163574,1.0,1.0,1.0,0.978943406501135
1999-03-01,1.0121379768122378,0.977651373892899,0.8601948709949956,0.9989468394201768,0.9483679105879455,0.9767356496296293,1.0,1.0,0.9075028086544604,0.942195242201186,0.9752257087144743,0.94768109365801,1.0,1.0,1.0,0.9442365868389343,1.0,1.0562809028475753,0.9442147101028886,0.9718669332546456,0.9864383210611952,1.0,1.0,1.0,1.0,0.948369999865807,0.9709217149279102,1.0,1.0,1.0,0.9755908363769707
