,AUD,BRL,CAD,CHF,CLP,CNH,COP,CZK,EUR,GBP,HUF,IDR,ILS,INR,JPY,KRW,MXN,NOK,NZD,PLN,RUB,SEK,TRY,ZAR
2000-07-18,0.31911953134531185,1.4509154932801749,0.24112039383904033,-0.0786188203269848,0.9346670526263909,,2.538264672024764,1.7046007933333447,0.2134461290203722,0.024118488840579686,1.7606187446813049,,0.16747689279100583,3.473671074626931,-0.3324245701308455,,0.6570425616658528,-0.058059908839177714,0.5225315627576557,1.481278874100889,4.020086060648356,-0.03208783701821419,2.118540403452018,1.703345692970727
2000-07-19,0.33621665980547755,1.4597085391422706,0.23789972824099304,-0.07037671378467794,0.9358380464868822,,2.540723324726271,1.7275387403607871,0.22389279428011605,0.024721279060268646,1.785567757534038,,0.17030092398196633,3.47571018474191,-0.33294005750234534,,0.6693036576677696,-0.051944744715595265,0.5320513104287928,1.5008597967913468,4.001764483471365,-0.0239991839189643,2.132696515014589,1.7159903912275514
2000-07-20,0.32815189102602355,1.4501645320945777,0.23891283087427215,-0.07087984168340618,0.9333989516785705,,2.540696201778938,1.7374075382430807,0.2236994326561916,0.018419492102542113,1.784857087491765,,0.1713546480166824,3.488748555579194,-0.3324827794358725,,0.6599040229733056,-0.05161394029150933,0.5118379626025397,1.493696604175964,3.9683972633250604,-0.024398789857181653,2.1339591335755905,1.6984734124967311
2000-07-21,0.31548997856412564,1.4508994033643907,0.23513846007492015,-0.07570655256243264,0.9362375008258175,,2.527977934492536,1.7002141016883752,0.2131647394846853,0.011220345903659674,1.7609501011198028,,0.16835673923422256,3.4832027616915404,-0.3269195789740119,,0.6604426764949086,-0.05908164120687449,0.5008503281597319,1.4746664501977844,3.9892099678230206,-0.027783957970146426,2.126435906782598,1.6920425017642342
2000-07-24,0.3147296354451989,1.443392273930524,0.23142940666361425,-0.07542891096501157,0.9486482435798614,,2.5370204559981393,1.6981653662657978,0.21242097942772392,0.010667980926405939,1.7601473462783146,,0.16661970598265122,3.470707515964014,-0.3279935117465838,,0.6564014808654544,-0.05968911271290816,0.5096511619777538,1.4686857206309623,3.9887668025454928,-0.03262735331015276,2.1267504453189856,1.7052044292138016
2000-07-25,0.319419772230059,1.4440977674121955,0.2314090132840132,-0.08476658231196006,0.9507718291207922,,2.551324670880015,1.6766612065535713,0.20184721323615237,0.008492489111845244,1.7366574554447,,0.16893694532506498,3.488238955773272,-0.32575299795685064,,0.6624245557381677,-0.0675043594606304,0.5104788058827658,1.4766907571300092,3.9990511867399636,-0.04080586775335877,2.117315029374558,1.7062498236020667
2000-07-26,0.3046223015182722,1.4379166362789508,0.23034613977246773,-0.08642786968929599,0.9720990798517543,,2.5637332537291058,1.6744216677456252,0.2005174315150095,0.009360972102588726,1.7334332494401241,,0.16817454829747527,3.488178812091412,-0.3256141077258514,,0.6618423000361814,-0.06798124307308255,0.510337299817274,1.4680818919507648,3.9927486828855465,-0.03963514575905569,2.1180785690922357,1.702369106782916
2000-07-27,0.30826923342467993,1.4290104226644453,0.2353106101254441,-0.0845646370502583,0.9621688664265265,,2.575239161129457,1.6779600772950807,0.20441786398741052,0.010529810196179091,1.7440349321095088,,0.16636863278817265,3.485709715609265,-0.3263531498060442,,0.6620365671448978,-0.06263857413581086,0.5170212051732054,1.4715742732943717,4.0116973207446005,-0.028363056460106405,2.1237969727417783,1.6984864416606575
2000-07-28,0.3118667519811598,1.43588427924841,0.24030290930963616,-0.07357118339275258,0.9773970772858698,,2.583481049771894,1.7119783690843344,0.2202149842808746,0.018075565406659142,1.7793924799409395,,0.16580840927868987,3.486707434977259,-0.3234183592971202,,0.6618267527032834,-0.0547510339567967,0.523658784258615,1.4979897650286744,4.021625721892091,-0.01840156457780739,2.143583915557547,1.7091411905092204
2000-07-31,0.33160909186570864,1.4290226862147675,0.24752264305406857,-0.0742630228790247,0.9699240252754565,,2.574406926404408,1.701556179421622,0.22082249491853978,0.02255549314696758,1.7804771699763446,,0.16687967266124093,3.4986959716107044,-0.3237462563460548,,0.6629964852940597,-0.05056248859505141,0.5338871786869155,1.4951010678429166,4.0288413914607295,-0.013184623400195565,2.1457771253696714,1.7089796041373553
2000-08-01,0.32608201877051146,1.4399804882827612,0.24799471128753758,-0.07359396557116063,0.9614586758948155,,2.581044948043598,1.706251465945765,0.2222155131879971,0.02071417742849662,1.7844568932826048,,0.16402629701908086,3.508190549379701,-0.3247294839936938,,0.6573105085242277,-0.049963187282550656,0.5307454524076098,1.5006965705765904,4.032489597125024,-0.013437790010499688,2.1460228859976302,1.7108563348516979
2000-08-02,0.323707987204269,1.4454613031719798,0.24404765537839204,-0.06276088686828399,0.947602748187703,,2.5867296835846125,1.7357852665882254,0.23786514698726222,0.02495064350981194,1.8204783032962277,,0.16315043572297533,3.5306480493623322,-0.3266803864160483,,0.6593587483924145,-0.03924188688679009,0.5363024026785559,1.5158034687071305,4.014433670081658,-0.004215022474287947,2.1656337607723177,1.7257152507761306
2000-08-03,0.32020339696909444,1.4467789861144524,0.24491667691468622,-0.05203782906674363,0.9585814082194815,,2.585125372703929,1.7649402818960864,0.2508893429870143,0.02358257161428657,1.8499482456544425,,0.16547442726938652,3.5282059717002263,-0.33317099374742404,,0.6661073129183478,-0.03453639449508547,0.5306947506139282,1.5428449196450578,4.007978910376498,0.004673627258862019,2.1804768552281586,1.7240823425587568
2000-08-04,0.317610383829156,1.444046458674132,0.24894136675990508,-0.05474952273677483,0.9681028636104025,,2.583434018260488,1.7510799548079912,0.24501635234755842,0.016592900919380697,1.8369423416757507,,0.16430907351785629,3.5367253448391125,-0.33079335196067083,,0.6617383402569902,-0.045036168521380836,0.5290686474052312,1.5253002244964047,4.006297834567868,-0.00606953032115512,2.178423021724176,1.7081848344761794
2000-08-07,0.3156971731396523,1.4522380784420779,0.2528811595199936,-0.05550165199458017,0.9688965266915578,,2.587617290388521,1.7484597412938285,0.24536979513332602,0.015221752010310556,1.838596831570662,,0.16264556130851804,3.5536694600391128,-0.3272013243266392,,0.6564272426155652,-0.04346572954466042,0.5354906465536059,1.5164208352420083,4.0067073987395725,-0.009901148395642151,2.1802295804626115,1.7075922558429584
2000-08-08,0.3144981981884109,1.4468180231421317,0.25125629155623225,-0.04780592898252919,0.960315580506798,,2.5761713386501537,1.773378810498427,0.2572878485687783,0.01788057735763243,1.866359379139045,,0.1617918494460721,3.5681295815686216,-0.3291474929246906,,0.657172654658382,-0.03500483925090174,0.5342838688900621,1.5183784765968118,4.003020487396741,-0.005051178384699354,2.192803305292151,1.7171250968355973
2000-08-09,0.33234243292740623,1.4515375488369553,0.2460905736506706,-0.045378320137366375,0.9610107822189152,,2.584273497748654,1.783763729547068,0.26019452156707473,0.01997920335074966,1.8730217585243045,,0.15931537840533375,3.561149795525645,-0.33299745844602846,,0.6553429592751696,-0.03348722293005947,0.5444585805910122,1.5118066412128919,4.002740093923886,-0.0026261701259488322,2.198747181215499,1.723759994604298
2000-08-10,0.3247463724477753,1.4501955162942526,0.24545471911805108,-0.05486634237677008,0.955071175541304,,2.5785714679844185,1.7480690001350272,0.24469835236341203,0.02097454347161772,1.838539723229352,,0.1592217032901492,3.5842099325425485,-0.3301621251711663,,0.6541426619248403,-0.04332350239294426,0.5432281134806329,1.4982507426849645,4.000523667731793,-0.011165604937901972,2.1831296535721263,1.7023346547946125
2000-08-11,0.329802491179833,1.4576642823761945,0.2458949724783547,-0.04628850028427476,0.9419106760136721,,2.5892678122479453,1.757538312929686,0.25021983061649183,0.018604769768292694,1.8524561812556681,,0.15813328658047762,3.578196381259108,-0.33110676237266295,,0.6453618263979686,-0.041275284967129455,0.5465064038250916,1.5083479923961363,4.001042360781602,-0.008106765445503785,2.194349918901229,1.6926436732696748
2000-08-14,0.3295302319655298,1.4611260487951683,0.24572577548544958,-0.04656188390874157,0.9298133828560999,,2.58835451761797,1.7604900132273031,0.2512931624732842,0.0165771736003978,1.8541434638320122,,0.1558801894451434,3.5706853800216884,-0.32486569636588375,,0.6429208806156514,-0.042729772747206136,0.5479015130442633,1.5034315532730587,4.003101393959919,-0.010933133798091701,2.1950936478056926,1.6894498002450804
2000-08-15,0.3229540839280517,1.4604305777570539,0.24892233231182498,-0.05211005652888448,0.9298066019350065,,2.595769079060682,1.7413938941251683,0.23870423686762102,0.01651907329527713,1.8270483594001194,,0.152360447364037,3.568173349044161,-0.3271094887216828,,0.6399980311788712,-0.04729903573231778,0.5530681789158837,1.4908037410920252,4.019479671578096,-0.014950555565269266,2.1839220433613025,1.6993855521457641
2000-08-16,0.30896985525523574,1.4706304186103185,0.24034599918791724,-0.049943377745983876,0.9358441708246099,,2.595813096789204,1.7442304062607072,0.24077755956082048,0.02114852250480904,1.8311214549045713,,0.15321788999477634,3.5711252721663467,-0.3299785889102199,,0.6334659082509284,-0.04757605866354865,0.5463336273094085,1.4925652019243993,4.009189028630725,-0.007992641710164155,2.187353365594477,1.7022865867225534
2000-08-17,0.29910631543233096,1.4679411170578485,0.23886295857448725,-0.05265916797979459,0.9366101695102652,,2.5916582571404594,1.739670654401849,0.23687575501210734,0.02179082077511277,1.8231290879535151,,0.1520925812910018,3.5881896984218744,-0.3301004980444294,,0.6311368483076506,-0.05296851436077565,0.5407585018888936,1.4796366069729803,4.012863062714136,-0.0077772606976398645,2.1846069812199107,1.695181760579614
2000-08-18,0.30771284977040564,1.4782038462232527,0.23768225158578404,-0.04645064646350169,0.9482928314483446,,2.593370756053048,1.7547705862623293,0.24474854395662896,0.024998562433467503,1.8413408890131502,,0.15259540067600802,3.580120616685381,-0.3307901062842951,,0.6258940314909032,-0.048777710234952136,0.5481062953429193,1.4778597259094868,4.007253112732786,-0.0061107702376684255,2.197793171026995,1.7007801984691955
2000-08-21,0.30926776174047005,1.4864062323715461,0.23801025520526925,-0.04224005110171552,0.9425979454796042,,2.5933457123355232,1.7736204240522304,0.25165872697793523,0.02644291572018007,1.8570128765606544,,0.1497873208680717,3.561149618036941,-0.33043123887043074,,0.6412713586667511,-0.044189888655854166,0.5486018222362389,1.4856435348209198,4.007217421889999,-0.0017244194407168667,2.2071325331634775,1.7094524787651937
2000-08-22,0.317504095511956,1.4802476179618576,0.23820858441368195,-0.036067729436315386,0.9366280543117999,,2.606479859661005,1.788924819018255,0.2595333442839214,0.03162130693465527,1.8748694338749996,,0.14979281255687296,3.5671339333893908,-0.3310691747806901,,0.6372314015177283,-0.03910324982655981,0.5718403230959808,1.487612816795297,4.0068797984546,0.001755422703290045,2.2168207149077945,1.7169732204044768
2000-08-23,0.3436800635902282,1.4849627078828331,0.2488720231813589,-0.038939090355238196,0.9359277242645881,,2.622930464773264,1.7935742898527927,0.26552264579523743,0.03475162737301099,1.8888459674909186,,0.15137261045513078,3.5801300483540475,-0.3399835291242014,,0.6449353390729307,-0.03289616381613016,0.621036224379623,1.50828952535309,4.001493420194157,0.005584928298849738,2.22452015049915,1.7115118690695315
2000-08-24,0.3454348793125544,1.4829352131589388,0.24701999983332082,-0.04973464319429135,0.9390552713136805,,2.6253551343933146,1.771032101326494,0.2530933738841627,0.033823088310429975,1.8604642870427803,,0.15144787436592363,3.5907032549834756,-0.3400395476457762,,0.6373587117955447,-0.03641394861030193,0.6034115020831652,1.5137919162201057,4.0023911117968405,-0.0012022416538919757,2.210377571689497,1.7048354493401008
2000-08-25,0.3436896097176904,1.486357564229497,0.244881865758343,-0.05220182374443357,0.9376986172792563,,2.627087984935005,1.762745436828427,0.25014508485399,0.03879075237201569,1.855161040404944,,0.1529026064658939,3.586145467496278,-0.34091716009875683,,0.6395165054006432,-0.040059540798499944,0.5983526774425958,1.5193011251709367,4.003805864099937,-0.0015856391906648231,2.211851352824209,1.6908598435586706
2000-08-29,0.3471936063077435,1.4917827074051344,0.24859447255258307,-0.043617428508863125,0.980203092569067,,2.6290982150370823,1.7891632558436485,0.2620127602884671,0.048850134621643004,1.8830361886323514,,0.1492399706874382,3.578139832962131,-0.344912179107613,,0.6391220729014889,-0.03348060473573381,0.6178260715416938,1.518122722190901,4.011584471777195,0.01335177617716973,2.2294721556623713,1.7018315468465008
2000-08-30,0.3482010098944513,1.487744026471448,0.2409065891864926,-0.03823324326806459,0.9913963526166563,,2.635239560673777,1.799077000627397,0.26617297777125165,0.05218756139339771,1.8929296237110902,,0.14297438693151207,3.5782012775167207,-0.34261942063247003,,0.6353848811642718,-0.03143388344725713,0.6277736392986496,1.518630948521722,4.014845959346279,0.014007789317982874,2.227993954419066,1.7077096141663202
2000-08-31,0.3344254662365895,1.4877473229031497,0.23813091932974595,-0.033571724828377045,0.9929573167370375,,2.6459258827841605,1.8075540540823773,0.27242083612215134,0.052560221111014487,1.9084940102584302,,0.14611059088854678,3.578649954415846,-0.3418852331485403,,0.6339589594746512,-0.027339447865633894,0.6276083473519917,1.5209963565692726,4.013520423117205,0.01535837889700663,2.2412939341400104,1.7130282702718809
2000-09-01,0.33922130866787426,1.4884307018938643,0.237235148898461,-0.04506810100634506,1.0007939027026962,,2.6426053873819844,1.7787578486605524,0.2569675974088033,0.04876164379060684,1.8732645547777769,,0.1455487636759571,3.5781236556385267,-0.3474071713573538,,0.6329846970790473,-0.03494029326488627,0.6287274986585882,1.515509510748939,4.012105727666159,0.0034666018408615303,2.2308914021722726,1.709105686682963
2000-09-05,0.35252036142592436,1.4849945505456177,0.23875103029602182,-0.028975938092009906,1.0160110718907833,,2.6368964566666544,1.8197624730345405,0.27651934779972237,0.05606670123635881,1.9199843952013618,,0.14692368107304832,3.569663009805768,-0.34678012087306526,,0.644085011709365,-0.024384366026249042,0.6295250982664059,1.5019666832150538,4.029621612981059,0.018737464450232052,2.2524317583282447,1.7358403995937313
2000-09-06,0.3637310181094869,1.4849813848729918,0.24456813644504102,-0.0219617636049311,1.018179262501028,,2.6352844821888826,1.8430881065448688,0.28827443122521207,0.055527612964572974,1.9489770372034971,,0.14982479901070803,3.5596991299741503,-0.34631353097561757,,0.6508624345054673,-0.019616200955045158,0.6371851306555188,1.517100752701579,4.0301755348327655,0.028072840662371534,2.2645775112560096,1.7509290360010366
2000-09-07,0.3827059160100412,1.4822965900988083,0.24319716285578985,-0.013832142007146303,1.018112548367627,,2.6229699164493203,1.864904267117453,0.29879922470936804,0.0673619530125534,1.972994591540109,,0.15033719245121807,3.563144623859728,-0.3516202753022062,,0.654388171316946,-0.011986169075354255,0.6737279208124565,1.5410611846154452,4.029622024669211,0.03274047092837736,2.2774960876075854,1.7698790979386596
2000-09-08,0.3877361936723273,1.4768387222544272,0.24142973765276748,-0.009021808376804866,1.0145589317014403,,2.6188595892424047,1.8808619506416542,0.30560776118216,0.07601159021422223,1.9888746626377276,,0.15122530338494855,3.562157339646869,-0.3451043470130804,,0.6571695916513189,-0.007434623549152255,0.6614250281630847,1.5387731219646867,4.032682032677559,0.0376093882660028,2.28933621675603,1.7635292367754185
2000-09-11,0.3792354592783602,1.4815480443475904,0.24064922434430022,-0.017493614615113312,1.0071247437379223,,2.628640052231151,1.894647387144407,0.31264700412938085,0.08049871034292443,2.0052582717438443,,0.1526748418753413,3.5606470280400027,-0.3454593988680796,,0.6469980086997116,-0.0021878676786041577,0.632023517729511,1.5471095799333903,4.029999554292139,0.047946211903344145,2.2985590641443316,1.7671225935860941
2000-09-12,0.3769681292758648,1.4952206701003468,0.24358946026663847,-0.0182099220835296,1.0057401279857632,,2.6312642785420515,1.913753319283309,0.31434978819400156,0.08891058085761606,2.012976809721254,,0.1550812351834815,3.558212568850594,-0.3401775262195748,,0.6422021857157464,-0.0009416874464526245,0.6318361574088031,1.5669051540673216,4.024015526963525,0.050929473512756736,2.299971897590572,1.7772401689613906
2000-09-13,0.38505958972617965,1.4979085749097447,0.24558255243503976,-0.022884344764802955,0.9979123508814123,,2.627832383467967,1.9081784034850926,0.3084444742093208,0.08505456628004493,1.9928233425902218,,0.15375068966194536,3.55813298608643,-0.3387959126056609,,0.6480031606294753,-0.003835618383527957,0.6449270189363692,1.581887951252016,4.020426704802444,0.04486771054767942,2.2967422996693454,1.7696097091720286
2000-09-14,0.40140535612844913,1.5075070675063944,0.24983419194657816,-0.016681813882463585,0.9865777413658243,,2.6352609290418805,1.908481504206017,0.3132557144231646,0.08737737400679725,2.0090061694679764,,0.15103650092986623,3.566168683281727,-0.3381111548627982,,0.6515633721867142,-0.0018330687650010137,0.6468956935186831,1.5884682990240244,4.012302704811921,0.04810709079234428,2.301948759661554,1.7801170819763572
2000-09-15,0.4027245149619035,1.5149820729707946,0.24702698917028745,-0.01678648232594691,0.9989720575866071,,2.636876870780558,1.9121061570009805,0.31067954218788285,0.08872594083599321,2.0034234889110283,,0.15347223041050845,3.575689238933916,-0.33861363645493364,,0.656428447049883,-0.004146491550727902,0.6623626733515267,1.572698104523641,4.007556470066325,0.046692692219772826,2.305228292406717,1.7984913832241496
2000-09-18,0.4174451632611823,1.534138392139999,0.2485828498744655,-0.010521175237860815,0.9989876153165159,,2.6352126443867934,1.93885120555577,0.32399717608791745,0.09241249174434862,2.035894998919795,,0.15833609300575874,3.5956418810784747,-0.3405926641015423,,0.6694382520211734,0.004710053461737953,0.686905685514186,1.6121054805005621,4.012319153282235,0.05674580688580851,2.318825095162168,1.825337270190375
2000-09-19,0.4179885421141555,1.5320357305740893,0.248803185175056,-0.016172356350257284,0.9990378204854904,,2.635280703706464,1.9412612079804732,0.3252450146521366,0.08856189076452531,2.0433995450301015,,0.1578945007702298,3.5956945277241052,-0.33946219339099276,,0.6737288598691081,0.0057668851418740934,0.6789450378615481,1.640230831771559,4.019994361661911,0.05645890545452267,2.3208082103458776,1.8333457809363298
2000-09-20,0.4253291953728689,1.5299873464794926,0.24461383120189703,-0.011448786291514797,1.0195735224618683,,2.654149667006416,1.9548860132691686,0.334789652218752,0.08348410576024395,2.062799437967874,,0.15637010801785647,3.6281831250793455,-0.34128165200711175,,0.6782185041795878,0.008860052351758997,0.7053130767122467,1.6465954759362444,4.033428421817732,0.06058808638542503,2.3319233089287295,1.8462861087664373
2000-09-21,0.42240940055496334,1.531345430522485,0.24857756118345634,-0.0146587179311675,1.0132171797037595,,2.6845859600756365,1.9420355040667097,0.32637389095865255,0.07678360496671649,2.0487554215229675,,0.15696625881052367,3.608153984651857,-0.34353785620664506,,0.673362714142554,0.0056041898363686895,0.7220926081463053,1.6393574907500579,4.017739490124226,0.05755509551664547,2.3259722557819447,1.8520957127601714
2000-09-22,0.3999042785954551,1.5156491927584645,0.2521040303531863,-0.04201225804991846,1.0050337017205921,,2.6689093907484804,1.8559230444283963,0.2830009422254287,0.050137880504739295,1.9529772564702477,,0.1620109768202411,3.606164808788602,-0.335865282961564,,0.6819752842888639,-0.02414506372758622,0.6801895821904201,1.6199860201912035,4.025079482403625,0.03078165958930076,2.2858989382860733,1.8131910627482604
2000-09-25,0.40692913401734215,1.5225337106550538,0.2503983585019115,-0.036060533820621625,0.9982736653632467,,2.6607364794671553,1.875761447657071,0.29543277891501,0.05470043135211445,1.9795028462559712,,0.1538029676046069,3.601129638692,-0.3368976103486973,,0.6724346857828554,-0.014982070515060892,0.6940717515246498,1.6178441311225904,4.030723755025621,0.041484302979808756,2.3007146179884184,1.8130703006249993
2000-09-26,0.4025151984225255,1.5245929542645653,0.24972530702375398,-0.040684578150853995,1.0099607733225668,,2.660725651564832,1.8492173894885855,0.2852978661978396,0.051427122889790546,1.9586996918641306,,0.15183020446907322,3.603125659161592,-0.33642282684930586,,0.6688103646472525,-0.02169817213079844,0.6850440618448923,1.6243922445176118,4.027574311177193,0.03618579466235122,2.2913863069400735,1.807439091072482
2000-09-27,0.4027162525075676,1.5225170247138633,0.255707063343294,-0.03918203003675934,1.009956653968851,,2.6418091345999786,1.8454422202856928,0.2836679363470779,0.047245507241074035,1.9570899175889735,,0.14937052152049393,3.60316588420882,-0.336984468747904,,0.6705349630469639,-0.02228203202361431,0.6814155007865244,1.616976674923289,4.012780857310779,0.03929745255574456,2.2895799150347567,1.8151886920948546
2000-09-28,0.4045283436286347,1.515000974556464,0.2617943564126833,-0.04042553984184156,0.9975537248905852,,2.6348809083408806,1.8434748665647682,0.28129433404070003,0.04544117138349179,1.9570462727359728,,0.14917632793665864,3.5956354997587576,-0.3359943001739538,,0.6733569033569631,-0.02784195761279473,0.6834149775402858,1.599900248342045,4.009793945862987,0.039606087981982514,2.29056037283238,1.8268144555200465
2000-09-29,0.4236747746345176,1.5149780460748934,0.2633402587593933,-0.04135826406811178,0.9989730448253142,,2.634464476539991,1.850199882158558,0.281910418396808,0.035778672998941934,1.9563938971731205,,0.148116586195002,3.5961402462074585,-0.33311030743267367,,0.6762898120824672,-0.026828382061716456,0.7142944450908824,1.6050294161399439,4.014818669295945,0.036459224032307475,2.2948482484186896,1.8097033830147098
2000-10-02,0.4129702686009195,1.5265625360386124,0.2674439168053477,-0.04076651032537933,0.993703522630101,,2.6310908138021034,1.858848727321902,0.28307210158687346,0.04219376276460661,1.9580010931074738,,0.15262643742873475,3.604185497627134,-0.3287710577939683,,0.6728357381287031,-0.02133224711436259,0.7272930025406736,1.6159858632705049,4.011341534655956,0.04112221206247321,2.2962865865087347,1.8041104214796693
2000-10-03,0.4276326050020808,1.5286245590004541,0.2647496403263427,-0.03887172026444639,0.9890696221868865,,2.590840268938174,1.8861561016271795,0.29081181252096533,0.050649887152296215,1.9723402754481076,,0.15119488120843078,3.6061486026491676,-0.3293603205768904,,0.6694377042926472,-0.017751123071516276,0.7255114607658758,1.6171403774658335,4.018573382746455,0.05011206091633171,2.306413284806813,1.8190787094325649
2000-10-04,0.4319190186227935,1.5273130213025417,0.2592210502012518,-0.035228146649409355,0.9862415572128919,,2.5949657594172137,1.888978905360665,0.2960759291837936,0.050455093172996124,1.9831275337928607,,0.1532303312077247,3.605200252789448,-0.32526387907622717,,0.6715595480346146,-0.01368257101673192,0.7280743235623676,1.6106075458417364,4.028533993854942,0.05617954190305124,2.3121234997698292,1.8179355177912793
2000-10-05,0.4391100287348049,1.5204737718979993,0.2554797331517473,-0.030872784540987123,0.981278420597098,,2.596657994757841,1.8977012934127446,0.30104594351119335,0.05400974603597384,1.9923367065663733,,0.15347953208437115,3.608176758201411,-0.32429829506584357,,0.6789622866043188,-0.009326417169467631,0.7369574904109727,1.6172515388037678,4.026863904601693,0.0551620726190597,2.3160482530877022,1.826831220695621
2000-10-06,0.4390936897137847,1.5307426258602874,0.25974764073029805,-0.030331828402077692,0.9929870265050064,,2.5936454106874707,1.8981921533709163,0.30073544239174377,0.05867677011485295,1.9865494281639944,,0.15688449081476225,3.613134539466375,-0.3287892904959455,,0.6791958323078344,-0.010323004183331123,0.7298717262259642,1.6182040574789154,4.045353207587039,0.055862683013527696,2.322745906223039,1.8363640024513075
2000-10-10,0.44699201346068473,1.53343322761306,0.2609263736808955,-0.028883762837538844,1.002925171605526,,2.576980796694046,1.8891336642552365,0.3029967459703734,0.057199633685418916,1.9903047724657243,,0.16775720311937642,3.6196376616357835,-0.33345913923583315,,0.67959731822275,-0.005811781464998946,0.7319400980638591,1.6370326063662832,4.041847922318994,0.0654205017654321,2.325539490210894,1.8642378140297653
2000-10-11,0.4374760157392747,1.5395743672766624,0.2629255433929376,-0.04037292101847285,1.0015242284735024,,2.5731509963009285,1.8689626956217835,0.29440719383426256,0.04513128998374102,1.9766261947028767,,0.16233310907533166,3.634672434724144,-0.3363965179962095,,0.6830151227885926,-0.008515771490759976,0.7141016217826084,1.6601651610422918,4.029396773810237,0.05926796527611677,2.3175322619736054,1.872397680573908
2000-10-12,0.4504660947338332,1.5381632433229289,0.2657155357672053,-0.03161964290127562,1.0103917307561747,,2.5884467269027347,1.9046353341065945,0.3116401816221347,0.0427974457823628,2.017311831387411,,0.1819969022551849,3.6276622434188264,-0.33446572354416626,,0.6860849242859185,-0.001868802947754751,0.7513285918035641,1.687776060463875,4.040472463811407,0.06772647367849847,2.3354165919207572,1.90493904445257
2000-10-13,0.4529049208533702,1.5497978827807823,0.27312675569064676,-0.02763088445986974,1.0138953089178748,,2.5920876836960063,1.914933774149724,0.31623683581807344,0.04817850744239685,2.025309601959274,,0.17088294696614664,3.636185570314782,-0.3356025272727097,,0.7030932732821874,0.002524211748596935,0.7469360990135304,1.6933645479684154,4.029641274007467,0.06526227884727141,2.34429457606044,1.9171153757366228
2000-10-16,0.4707404254756281,1.544990630672361,0.27249114936389335,-0.01334509566827656,1.0124596083247002,,2.5920896489678174,1.9463618363611634,0.3330018296840248,0.05914064550663877,2.0677380379352637,,0.17292476117325342,3.6296049045436987,-0.331632997635715,,0.6936608586330758,0.011570676056058377,0.7626824211454708,1.6956610555874794,4.029276282163647,0.07712041847092743,2.3628326696337325,1.939733543210846
2000-10-17,0.483671407724975,1.5525150406807535,0.2746197046584779,-0.014327238923619713,1.0181177066544422,,2.571545489570115,1.9451918842782556,0.33107827688339064,0.063570704800006,2.0587671372370724,,0.17171111274630274,3.6331714578911596,-0.3324844004809786,,0.6939786993385438,0.013333599636939367,0.7682323865038317,1.6882409960469935,4.026339740562822,0.07675784064458153,2.360368311853505,1.9333583306599371
2000-10-18,0.47944205221882635,1.5566066104494851,0.2742220759143488,-0.016555252427716594,1.0234738780601254,,2.54645630823052,1.9555239973599365,0.3346669036761125,0.05397900456306268,2.071237929553124,,0.17408322758902647,3.630692830864848,-0.3350845518932458,,0.6999275215921894,0.017032907681750167,0.7675463891031575,1.7031188304909561,4.043129928813577,0.08316659404559366,2.3660722697195613,1.9951131407004847
2000-10-19,0.48115792363656634,1.560721488298266,0.26976806130301095,-0.008145212349796076,1.0216874403045315,,2.538706432045707,1.9272533288981664,0.3473001030854478,0.06194622661834831,2.094137499748343,,0.1723315837161416,3.629186650207675,-0.3303080087822101,,0.6916511003575073,0.02102157062591458,0.7700755550371988,1.6881891797345645,4.038097334400577,0.08652174827056804,2.3787269268341436,1.9785697300160319
2000-10-20,0.45985206327301625,1.5715875525702345,0.27163744272881546,-0.005713184889920759,1.0237735643385124,,2.53904851665731,1.9342166972744965,0.3506462053429363,0.059715992229508984,2.1020597592347707,,0.17684272811261173,3.6331410519019496,-0.32790639661735255,,0.6980267137763981,0.021109259036198355,0.7389345388090104,1.6954072105348912,4.046565245343498,0.09099230009793143,2.3869141649669734,1.9669126193632047
2000-10-23,0.4631999725966091,1.5934048057696992,0.2661550069017546,-0.0038881175760010623,1.032709453403292,,2.5387188230818727,1.9507247823381604,0.3531887620907717,0.0545692994764818,2.108295047987555,,0.18148098161753873,3.6326084813459794,-0.330897902685922,,0.6982657031350785,0.01917734866724617,0.737160578862698,1.7094392403228758,4.0453130057592475,0.08922270004407826,2.3898565527328883,1.9504191609236152
2000-10-24,0.4639712640200018,1.6077810524528182,0.2697386691882431,-0.0032880885154430157,1.0323733507975408,,2.5514566023706666,1.9503304425492716,0.3512531289222319,0.05709585098244465,2.103168820256971,,0.18692356098601853,3.6376029796084604,-0.33286442941984795,,0.6997843151991452,0.019264938295142014,0.7289983881904294,1.679629255793783,4.036093005836807,0.08940720238915398,2.3890847142337317,1.9523612828777586
2000-10-25,0.48684630732182493,1.6316610835851995,0.2755810862898577,0.004528896472158858,1.0440745579671835,,2.5587805966978676,1.9731795524501712,0.36514024660573724,0.06699295572186276,2.1363313963598096,,0.18371717297077292,3.6611169561014245,-0.33457429800888905,,0.7082127751212449,0.025413702787201755,0.7458962653524617,1.7011204366917294,4.040822064117253,0.09912305499044274,2.405493820129337,1.974750599136952
2000-10-26,0.48576088268212686,1.6302841210569579,0.2748915557335643,0.010203401260528712,1.0522082590547788,,2.5423902865778554,1.9700476780487786,0.3646391992565561,0.06962315132071348,2.1376547676984132,,0.18116687974611925,3.6606410584937135,-0.33074810147105493,,0.7169797629414811,0.02560818369733632,0.7408514446307924,1.6910664750250057,4.03593226229055,0.10451138385545951,2.4042277083905446,1.9864230223480421
