,AUD,BRL,CAD,CHF,CLP,CNH,COP,CZK,EUR,GBP,HUF,IDR,ILS,INR,JPY,KRW,MXN,NOK,NZD,PLN,RUB,SEK,TRY,ZAR
2016-06-30,-0.08706181526922223,0.7169135445314577,0.04143565458853213,-0.2143106629668366,0.6789339544969282,0.9166309563637668,1.42674782629866,0.8722192939039963,0.1874883420466321,0.07321954271222013,1.1305813407263086,2.2651575861154964,-0.00358632833141084,2.9563766176482766,-0.0016856991718821204,0.3225047357887406,1.1601078122430872,-0.14022436534491248,-0.040952867968975674,1.2242354421167556,1.7744107500560935,-0.053242921251130615,1.3904005826730406,1.6320512651024497
2016-07-01,-0.09138405370369801,0.7372667944824512,0.03423244441967891,-0.21460448965387993,0.6733610105924438,0.9169552897440474,1.4368029793734216,0.8709399788705963,0.185057349756328,0.08162390597945209,1.1364274016444513,2.247280252925281,-0.0026134510545052113,2.947556070506895,-0.0009707564014724282,0.31473711061822407,1.14165615251041,-0.14387158009961845,-0.046850326572206,1.2247980038487694,1.7837975485416475,-0.05799781055754571,1.4052829946052945,1.6162313921376412
2016-07-05,-0.08987092517819187,0.7644760061691025,0.03886258517445189,-0.21451620020774892,0.6765572678118832,0.9243471545161206,1.4736910766517166,0.8708432861913649,0.18757432848014535,0.09954493220141777,1.1360800110412401,2.2472312049765435,0.004510674788433581,2.9552937096121688,-0.011742530138793684,0.32675492517258375,1.1925360329295749,-0.1378348923802947,-0.046911713650587945,1.2484758059711614,1.8060797850035186,-0.0499459713853468,1.4306680041044462,1.6579347884129891
2016-07-06,-0.09285418876919663,0.7880233610382257,0.04520218191022444,-0.21158707100916493,0.6886645755334743,0.9272110309416854,1.5161824071456098,0.8758781301107532,0.19154319517267512,0.11369555995096849,1.1435294428889906,2.247232608393969,0.0074958259276870845,2.955318752753394,-0.018552766327301462,0.33838422323534884,1.2116827844526794,-0.12773473127278576,-0.03942906496608382,1.2536143839030462,1.8037745154793186,-0.0452548931908428,1.4526710271019154,1.6703475478295637
2016-07-07,-0.09339396699340574,0.791818285320498,0.0373878099704657,-0.21188086654208674,0.6802266763807101,0.9257569085727926,1.4864214759256544,0.8759541278173619,0.1914647820254153,0.1093652988222266,1.1316582469618823,2.247285965926567,0.0036490026863629592,2.9501986760552072,-0.019300984571570038,0.3256224468795383,1.2096800853862721,-0.13054340769567704,-0.053374184344053215,1.2438292270029931,1.7766639202383292,-0.04178483396342882,1.4429880468262053,1.6453180719775864
2016-07-08,-0.09968297974962531,0.7697368884323625,0.04931661268939333,-0.20654371132629257,0.6805715712081521,0.9269430097771622,1.4759735309720523,0.8810907203943528,0.19558061432199764,0.10700686586569495,1.1339423864462992,2.2472766130639807,0.005611669692877901,2.9483794553990035,-0.021616987679929298,0.3340118958411114,1.1809612044847597,-0.12208651541102761,-0.06319957632989127,1.244934698009249,1.7775022769922408,-0.038295296971557424,1.4126342881169875,1.6221180377182713
2016-07-11,-0.09854864307694826,0.7690578601651757,0.05038422208902196,-0.20721310543591936,0.6657902497007518,0.9273141889440264,1.4389526576738105,0.8812559673729219,0.19438310403632808,0.1045108820884877,1.1244001420457168,2.238610959863362,0.003462642224754793,2.9373435156838683,-0.0014096753486646872,0.316547910509675,1.15682908559969,-0.12687546525548307,-0.05580079834468213,1.2497712056719628,1.7821416701690396,-0.04089525592087919,1.410224622445881,1.5954600697101042
2016-07-12,-0.10813760304163371,0.7560406649086805,0.04537129389773962,-0.20342374204378305,0.6660711899280232,0.9259254353517921,1.4317248514167995,0.875804864546402,0.1918123001299648,0.0882555944743816,1.1273042849681327,2.2422737611133843,0.0034422996092426197,2.9364125403457524,0.017264112840510187,0.31806738405532015,1.145929428508821,-0.1339496110351487,-0.062292402023915755,1.240627799117991,1.7783160504944269,-0.04797822314364664,1.404050587551199,1.5777847496368265
2016-07-13,-0.10893249988770773,0.7640136727753187,0.04118778321954454,-0.20649484603241602,0.6720315717063602,0.92401784819374,1.457037893929618,0.8691172747181561,0.18818406127726203,0.0852378905136212,1.1196431940067635,2.2385963254019465,-0.001923649295826655,2.9299464118923058,0.014557967244449023,0.31654566345369484,1.1527837362291518,-0.13516082253428457,-0.06374514901305935,1.229272824488239,1.7771789917894896,-0.051740968246864735,1.4128800272338027,1.5980185932154394
2016-07-14,-0.10970660353632862,0.7307275697983898,0.03638300748960974,-0.2080137573922508,0.6485545791393753,0.9240621379515248,1.4421717279172346,0.8695487432209182,0.18805141566652891,0.07679794763188666,1.1204343289061949,2.2342953446612355,-0.0032090881617279094,2.9226511673307,0.02523208490536143,0.30597957427247224,1.1453298927990359,-0.13999167444131697,-0.051594211540843246,1.2267264279328056,1.7349906778822217,-0.05200906290532656,1.3947990876006389,1.5530202323163782
2016-07-15,-0.10382576496625345,0.7539310491749686,0.03748689431495167,-0.20713158799488487,0.647227889166973,0.9271101838676292,1.4424491125226626,0.8749230332651824,0.19170770212149427,0.0840766051199461,1.1380690600037462,2.2353102491978305,0.0018219546367551035,2.9308440575161074,0.029642562188921747,0.301786296578036,1.1674735135439307,-0.1312438666100945,-0.04174513348699381,1.23953454847909,1.7556308312548812,-0.04610346366480345,1.4043203287261592,1.5774008784333036
2016-07-18,-0.10366625475872383,0.7478031755123965,0.04270940489511548,-0.20625043752492042,0.6473957333464583,0.930680837762345,1.4459163656264706,0.8756611213967971,0.19227338171997194,0.08012381440571627,1.1355712426720925,2.234285349672965,-0.0034979886984678695,2.938407162044644,0.030226561481408978,0.30481588377372515,1.166593284112239,-0.1304547319865395,-0.03850912467097583,1.2216982021697076,1.7416617258064326,-0.0434404481811375,1.4688018136257595,1.5680308399015566
2016-07-19,-0.09237019224936228,0.7564714728447464,0.04449774545986473,-0.2056738379446717,0.6515876838646013,0.929113675500627,1.4482934964520326,0.8845365360375995,0.19806808087945746,0.09216414105797226,1.1470487023417053,2.234680045300824,-0.0011402967985286836,2.936126277526428,0.03516936106093784,0.3039372543207752,1.1762361516049038,-0.12615742776993874,-0.028738110622266003,1.2336138143147843,1.7516662436547237,-0.0378624695266161,1.5159075426673336,1.5855510650559275
2016-07-20,-0.09190323105827398,0.7371188132044938,0.044939488900963824,-0.2047330870021552,0.6511497014485134,0.9201422236674652,1.4434874485510891,0.885113096060717,0.19830644890574023,0.08867750180135589,1.1418388353359328,2.240458343492709,-0.001569248980663697,2.939034153441987,0.038545210461901194,0.30998343783771853,1.1701318526929854,-0.12732237427189533,-0.029173242981587362,1.2266714837281003,1.7539714392129886,-0.03952650204564872,1.529594729946245,1.5653757504133519
2016-07-21,-0.09378904038436917,0.7438054013254033,0.0449679013734694,-0.2025898513452848,0.6448654173695171,0.9206024774997775,1.439627352715102,0.8868714849337731,0.1995566448948755,0.08547938936281167,1.1385481317367279,2.2373156597967503,-0.004527312042898806,2.93901339314148,0.03478300495121369,0.304139379380812,1.172319502372944,-0.12955425707013998,-0.02268120394455441,1.2237304898655432,1.7787589141648672,-0.03802413918818146,1.555876071897352,1.5480289988113807
2016-07-22,-0.08710608632707367,0.7591056052303998,0.056069835578367866,-0.20281493044683457,0.6486716801045432,0.9210860032716854,1.4477213558919202,0.890447241347234,0.2017422299031763,0.09654567718213661,1.1393739683033828,2.239424644545177,-0.007273864075165494,2.9336110073587696,0.034061038927144224,0.3026422924358934,1.1768209747901768,-0.12220252192604791,-0.02156784249526994,1.2276908529020774,1.8140350442991442,-0.031703288071297894,1.5414746509012405,1.5737148840623902
2016-07-25,-0.08861567038090748,0.7607368487974522,0.06075182095658456,-0.20381909119715802,0.6619334962208585,0.9234374701197722,1.4990776259052903,0.8910095188610223,0.2021234616634694,0.09308363420174404,1.131741703580317,2.2472622648505634,-0.004867543555525027,2.9459604962076886,0.03232950354614318,0.3054120802980857,1.1954010538363415,-0.11837598032707174,-0.020957771565003253,1.2308183213929056,1.8362794525961061,-0.03350189862447789,1.5276642268464113,1.5859967698791888
2016-07-26,-0.09541650457018083,0.7588523780294387,0.05956044860092089,-0.19956705829791252,0.6794400376463595,0.9205319461970414,1.5655065104630739,0.8896464537459838,0.2009959726575765,0.09380247689807479,1.1392881390798753,2.2540130090691055,-0.005389493601494219,2.9428440793722728,0.018321003000806222,0.30316620229194324,1.2046788020236563,-0.11834558155693257,-0.03043069979245502,1.2269689391454135,1.8754618978910798,-0.033077434676165196,1.5347037597111772,1.5904814196950292
2016-07-27,-0.08974783891759647,0.7618139999653639,0.05991586475126606,-0.19886777346616946,0.686598006097369,0.9208473181035259,1.5722453827982412,0.889182382995843,0.2005027919350781,0.0940379626015101,1.1387429023207971,2.2472249751163185,-0.0062343712994758285,2.936366262925157,0.028064105363847826,0.3023170845781092,1.2094078443879877,-0.11670447674256271,-0.030387744379299787,1.23580011410442,1.877453770002631,-0.030203912485608643,1.521431809754023,1.5666907501627134
2016-07-28,-0.09512504553735157,0.7558709583086994,0.05763647348725072,-0.20834415769051148,0.6861422458507141,0.9152805838063446,1.5772635238771395,0.8740151975807698,0.19030126802131947,0.09321003844600911,1.11028933521831,2.237638770758727,-0.009799560426255056,2.9318787861673568,0.020149532715255738,0.29111916430925333,1.2126553378866864,-0.12120339975613781,-0.03320312750876431,1.209761215530397,1.8960241756052159,-0.03402542224446082,1.5066968182085176,1.5599324896235434
